scenic-api     |  * Restarting with stat                                                                                                                                                         
scenic-worker  | [2026-01-30 18:25:42,041: INFO/MainProcess] Connected to redis://redis:6379/0                                                                                                   
scenic-worker  | [2026-01-30 18:25:42,044: INFO/MainProcess] mingle: searching for neighbors
scenic-worker  | [2026-01-30 18:25:43,051: INFO/MainProcess] mingle: all alone                                                                                                                   
scenic-worker  | [2026-01-30 18:25:43,061: INFO/MainProcess] celery@8d8651615c6c ready.
scenic-api     |  * Debugger is active!                                                                                                                                                          
scenic-api     |  * Debugger PIN: 125-585-160
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:25:43] "GET / HTTP/1.1" 200 -                                                                                                                    
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:25:43] "GET /static/js/map.js HTTP/1.1" 304 -
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:25:43] "GET /static/css/style.css HTTP/1.1" 304 -
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:25:43] "GET /static/js/main.js HTTP/1.1" 304 -                                                                                                   
scenic-api     | [Geocode] 'ox1' -> (51.7510299, -1.25261)                                                                                                                                       
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:25:48] "POST /api/geocode HTTP/1.1" 200 -
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:25:50] "POST /api/geocode HTTP/1.1" 404 -                                                                                                        
scenic-api     | [Geocode] 'ox51bn' -> (51.8181299, -1.2859)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:25:52] "POST /api/geocode HTTP/1.1" 200 -
scenic-api     | [Geocode] 'oxford parkway' -> (51.8037471, -1.275093)                                                                                                                           
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:25:55] "POST /api/geocode HTTP/1.1" 200 -
scenic-api     | [API] Route request: (51.8181299, -1.2859) -> (51.8037471, -1.275093)                                                                                                           
scenic-api     | [OSMDataLoader] Identified best extract: Oxfordshire (oxfordshire)
scenic-api     | [OSMDataLoader] Identified best extract: Oxfordshire (oxfordshire)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/oxfordshire.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:48] "POST /api/route HTTP/1.1" 202 -                                                                                                          
scenic-worker  | [2026-01-30 18:26:48,250: INFO/MainProcess] Task tasks.build_graph[e898b5f4-cbe4-4ce5-8773-59e881a8aa47] received
scenic-worker  | [2026-01-30 18:26:48,254: INFO/ForkPoolWorker-1] [Task e898b5f4-cbe4-4ce5-8773-59e881a8aa47] Starting graph build for region: oxfordshire                                       
scenic-worker  | [2026-01-30 18:26:48,254: INFO/ForkPoolWorker-1] [Task e898b5f4-cbe4-4ce5-8773-59e881a8aa47] Modes - Greenness: EDGE_SAMPLING, Elevation: LOCAL                                 
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:48] "GET /api/task/e898b5f4-cbe4-4ce5-8773-59e881a8aa47 HTTP/1.1" 200 -                                                                       
scenic-worker  | [2026-01-30 18:26:48,254: WARNING/ForkPoolWorker-1] [GraphBuilder] Building graph for region: oxfordshire
scenic-worker  | [2026-01-30 18:26:48,254: WARNING/ForkPoolWorker-1] [GraphBuilder] Modes - Greenness: EDGE_SAMPLING, Elevation: LOCAL                                                           
scenic-worker  | [2026-01-30 18:26:48,255: WARNING/ForkPoolWorker-1] [GraphBuilder] Clipping enabled with 5km buffer                                                                             
scenic-worker  | [2026-01-30 18:26:48,255: WARNING/ForkPoolWorker-1] [OSMDataLoader] File path not set. Calling ensure_data_for_bbox...                                                          
scenic-worker  | [2026-01-30 18:26:48,415: WARNING/ForkPoolWorker-1] [OSMDataLoader] Identified best extract: Oxfordshire (oxfordshire)                                                          
scenic-worker  | [2026-01-30 18:26:48,421: WARNING/ForkPoolWorker-1] [OSMDataLoader] Using existing valid PBF: /app/app/data/oxfordshire.osm.pbf
scenic-worker  | [2026-01-30 18:26:48,422: WARNING/ForkPoolWorker-1] [OSMDataLoader] Parsing PBF data: /app/app/data/oxfordshire.osm.pbf (This uses pyrosm for speed)                            
scenic-worker  | [2026-01-30 18:26:48,422: WARNING/ForkPoolWorker-1] [OSMDataLoader] Clipping to bbox: (51.738702054954956, -1.350945045045045, 51.88317494504505, -1.210047954954955)           
scenic-worker  | [2026-01-30 18:26:48,425: WARNING/ForkPoolWorker-1] [OSMDataLoader] Fetching 'walking' network...                                                                               
